jpath,kx_rad_per_um,ky_rad_per_um,frequency_order,frequency_GHz
0,0.000000000,0.000000000,1,9.413600
0,0.000000000,0.000000000,2,10.184000
0,0.000000000,0.000000000,3,11.693000
0,0.000000000,0.000000000,4,13.195000
0,0.000000000,0.000000000,5,13.259000
0,0.000000000,0.000000000,6,13.642000
0,0.000000000,0.000000000,7,14.025000
0,0.000000000,0.000000000,8,14.114000
0,0.000000000,0.000000000,9,14.198000
0,0.000000000,0.000000000,10,14.541000
0,0.000000000,0.000000000,11,15.160000
0,0.000000000,0.000000000,12,15.916000
0,0.000000000,0.000000000,13,16.099000
0,0.000000000,0.000000000,14,17.018000
0,0.000000000,0.000000000,15,17.789000
0,0.000000000,0.000000000,16,18.206000
0,0.000000000,0.000000000,17,18.273000
0,0.000000000,0.000000000,18,18.566000
0,0.000000000,0.000000000,19,18.633000
0,0.000000000,0.000000000,20,18.757000
0,0.000000000,0.000000000,21,19.125000
0,0.000000000,0.000000000,22,19.406000
0,0.000000000,0.000000000,23,19.574000
0,0.000000000,0.000000000,24,19.810000
1,0.785398163,0.000000000,1,9.408400
1,0.785398163,0.000000000,2,10.184000
1,0.785398163,0.000000000,3,11.694000
1,0.785398163,0.000000000,4,13.172000
1,0.785398163,0.000000000,5,13.280000
1,0.785398163,0.000000000,6,13.643000
1,0.785398163,0.000000000,7,14.022000
1,0.785398163,0.000000000,8,14.113000
1,0.785398163,0.000000000,9,14.202000
1,0.785398163,0.000000000,10,14.541000
1,0.785398163,0.000000000,11,15.161000
1,0.785398163,0.000000000,12,15.906000
1,0.785398163,0.000000000,13,16.111000
1,0.785398163,0.000000000,14,17.015000
1,0.785398163,0.000000000,15,17.786000
1,0.785398163,0.000000000,16,18.203000
1,0.785398163,0.000000000,17,18.271000
1,0.785398163,0.000000000,18,18.551000
1,0.785398163,0.000000000,19,18.633000
1,0.785398163,0.000000000,20,18.780000
1,0.785398163,0.000000000,21,19.128000
1,0.785398163,0.000000000,22,19.374000
1,0.785398163,0.000000000,23,19.606000
1,0.785398163,0.000000000,24,19.813000
2,1.570796327,0.000000000,1,9.397800
2,1.570796327,0.000000000,2,10.185000
2,1.570796327,0.000000000,3,11.695000
2,1.570796327,0.000000000,4,13.131000
2,1.570796327,0.000000000,5,13.314000
2,1.570796327,0.000000000,6,13.644000
2,1.570796327,0.000000000,7,14.015000
2,1.570796327,0.000000000,8,14.111000
2,1.570796327,0.000000000,9,14.214000
2,1.570796327,0.000000000,10,14.540000
2,1.570796327,0.000000000,11,15.164000
2,1.570796327,0.000000000,12,15.879000
2,1.570796327,0.000000000,13,16.144000
2,1.570796327,0.000000000,14,17.006000
2,1.570796327,0.000000000,15,17.778000
2,1.570796327,0.000000000,16,18.196000
2,1.570796327,0.000000000,17,18.266000
2,1.570796327,0.000000000,18,18.519000
2,1.570796327,0.000000000,19,18.632000
2,1.570796327,0.000000000,20,18.832000
2,1.570796327,0.000000000,21,19.135000
2,1.570796327,0.000000000,22,19.310000
2,1.570796327,0.000000000,23,19.668000
2,1.570796327,0.000000000,24,19.824000
3,2.356194490,0.000000000,1,9.386400
3,2.356194490,0.000000000,2,10.186000
3,2.356194490,0.000000000,3,11.699000
3,2.356194490,0.000000000,4,13.084000
3,2.356194490,0.000000000,5,13.349000
3,2.356194490,0.000000000,6,13.647000
3,2.356194490,0.000000000,7,14.006000
3,2.356194490,0.000000000,8,14.108000
3,2.356194490,0.000000000,9,14.233000
3,2.356194490,0.000000000,10,14.539000
3,2.356194490,0.000000000,11,15.169000
3,2.356194490,0.000000000,12,15.847000
3,2.356194490,0.000000000,13,16.187000
3,2.356194490,0.000000000,14,16.990000
3,2.356194490,0.000000000,15,17.765000
3,2.356194490,0.000000000,16,18.183000
3,2.356194490,0.000000000,17,18.257000
3,2.356194490,0.000000000,18,18.487000
3,2.356194490,0.000000000,19,18.632000
3,2.356194490,0.000000000,20,18.894000
3,2.356194490,0.000000000,21,19.151000
3,2.356194490,0.000000000,22,19.242000
3,2.356194490,0.000000000,23,19.721000
3,2.356194490,0.000000000,24,19.856000
4,3.141592654,0.000000000,1,9.375200
4,3.141592654,0.000000000,2,10.187000
4,3.141592654,0.000000000,3,11.706000
4,3.141592654,0.000000000,4,13.035000
4,3.141592654,0.000000000,5,13.383000
4,3.141592654,0.000000000,6,13.652000
4,3.141592654,0.000000000,7,13.994000
4,3.141592654,0.000000000,8,14.104000
4,3.141592654,0.000000000,9,14.256000
4,3.141592654,0.000000000,10,14.537000
4,3.141592654,0.000000000,11,15.177000
4,3.141592654,0.000000000,12,15.812000
4,3.141592654,0.000000000,13,16.236000
4,3.141592654,0.000000000,14,16.968000
4,3.141592654,0.000000000,15,17.749000
4,3.141592654,0.000000000,16,18.165000
4,3.141592654,0.000000000,17,18.244000
4,3.141592654,0.000000000,18,18.461000
4,3.141592654,0.000000000,19,18.631000
4,3.141592654,0.000000000,20,18.954000
4,3.141592654,0.000000000,21,19.175000
4,3.141592654,0.000000000,22,19.180000
4,3.141592654,0.000000000,23,19.749000
4,3.141592654,0.000000000,24,19.918000
5,3.926990817,0.000000000,1,9.364400
5,3.926990817,0.000000000,2,10.188000
5,3.926990817,0.000000000,3,11.715000
5,3.926990817,0.000000000,4,12.984000
5,3.926990817,0.000000000,5,13.414000
5,3.926990817,0.000000000,6,13.657000
5,3.926990817,0.000000000,7,13.981000
5,3.926990817,0.000000000,8,14.099000
5,3.926990817,0.000000000,9,14.283000
5,3.926990817,0.000000000,10,14.535000
5,3.926990817,0.000000000,11,15.186000
5,3.926990817,0.000000000,12,15.778000
5,3.926990817,0.000000000,13,16.289000
5,3.926990817,0.000000000,14,16.939000
5,3.926990817,0.000000000,15,17.731000
5,3.926990817,0.000000000,16,18.141000
5,3.926990817,0.000000000,17,18.229000
5,3.926990817,0.000000000,18,18.442000
5,3.926990817,0.000000000,19,18.629000
5,3.926990817,0.000000000,20,19.002000
5,3.926990817,0.000000000,21,19.113000
5,3.926990817,0.000000000,22,19.228000
5,3.926990817,0.000000000,23,19.760000
5,3.926990817,0.000000000,24,19.915000
6,4.712388980,0.000000000,1,9.353900
6,4.712388980,0.000000000,2,10.189000
6,4.712388980,0.000000000,3,11.727000
6,4.712388980,0.000000000,4,12.933000
6,4.712388980,0.000000000,5,13.443000
6,4.712388980,0.000000000,6,13.664000
6,4.712388980,0.000000000,7,13.968000
6,4.712388980,0.000000000,8,14.092000
6,4.712388980,0.000000000,9,14.312000
6,4.712388980,0.000000000,10,14.533000
6,4.712388980,0.000000000,11,15.198000
6,4.712388980,0.000000000,12,15.745000
6,4.712388980,0.000000000,13,16.344000
6,4.712388980,0.000000000,14,16.903000
6,4.712388980,0.000000000,15,17.713000
6,4.712388980,0.000000000,16,18.111000
6,4.712388980,0.000000000,17,18.212000
6,4.712388980,0.000000000,18,18.428000
6,4.712388980,0.000000000,19,18.628000
6,4.712388980,0.000000000,20,19.035000
6,4.712388980,0.000000000,21,19.056000
6,4.712388980,0.000000000,22,19.297000
6,4.712388980,0.000000000,23,19.765000
6,4.712388980,0.000000000,24,19.874000
7,5.497787144,0.000000000,1,9.343900
7,5.497787144,0.000000000,2,10.191000
7,5.497787144,0.000000000,3,11.742000
7,5.497787144,0.000000000,4,12.880000
7,5.497787144,0.000000000,5,13.470000
7,5.497787144,0.000000000,6,13.671000
7,5.497787144,0.000000000,7,13.954000
7,5.497787144,0.000000000,8,14.084000
7,5.497787144,0.000000000,9,14.342000
7,5.497787144,0.000000000,10,14.531000
7,5.497787144,0.000000000,11,15.214000
7,5.497787144,0.000000000,12,15.713000
7,5.497787144,0.000000000,13,16.402000
7,5.497787144,0.000000000,14,16.860000
7,5.497787144,0.000000000,15,17.696000
7,5.497787144,0.000000000,16,18.075000
7,5.497787144,0.000000000,17,18.195000
7,5.497787144,0.000000000,18,18.420000
7,5.497787144,0.000000000,19,18.626000
7,5.497787144,0.000000000,20,19.005000
7,5.497787144,0.000000000,21,19.057000
7,5.497787144,0.000000000,22,19.380000
7,5.497787144,0.000000000,23,19.767000
7,5.497787144,0.000000000,24,19.837000
8,6.283185307,0.000000000,1,9.334400
8,6.283185307,0.000000000,2,10.192000
8,6.283185307,0.000000000,3,11.759000
8,6.283185307,0.000000000,4,12.828000
8,6.283185307,0.000000000,5,13.495000
8,6.283185307,0.000000000,6,13.680000
8,6.283185307,0.000000000,7,13.940000
8,6.283185307,0.000000000,8,14.074000
8,6.283185307,0.000000000,9,14.373000
8,6.283185307,0.000000000,10,14.528000
8,6.283185307,0.000000000,11,15.232000
8,6.283185307,0.000000000,12,15.683000
8,6.283185307,0.000000000,13,16.463000
8,6.283185307,0.000000000,14,16.812000
8,6.283185307,0.000000000,15,17.681000
8,6.283185307,0.000000000,16,18.032000
8,6.283185307,0.000000000,17,18.177000
8,6.283185307,0.000000000,18,18.414000
8,6.283185307,0.000000000,19,18.624000
8,6.283185307,0.000000000,20,18.960000
8,6.283185307,0.000000000,21,19.072000
8,6.283185307,0.000000000,22,19.469000
8,6.283185307,0.000000000,23,19.768000
8,6.283185307,0.000000000,24,19.807000
9,7.068583471,0.000000000,1,9.325500
9,7.068583471,0.000000000,2,10.193000
9,7.068583471,0.000000000,3,11.778000
9,7.068583471,0.000000000,4,12.775000
9,7.068583471,0.000000000,5,13.518000
9,7.068583471,0.000000000,6,13.690000
9,7.068583471,0.000000000,7,13.926000
